Name BD;Total Nb of Images;Nb of triplets (train) ;IsDiffFaces;Crop Value;Db_Train;With Pretraining;NbEpoches;BS;WD;LR; Archit;Optimizer; LossType - Weighted Classes;Loss1;Loss2;Loss3;f1_score1;f1_score2;f1_score3;best_f1_score;best_epoch;f1_pos_valid;f1_neg_valid;f1_test;training_time ;all_losses;all_f1
ds_gbrieven_filteredlfw_filtered;13264;7806;True;(200, 150);gbrieven_filteredlfw_filtered;autoencoder;80;32;1;(0.0001, 'StepLR');1default;Adam;triplet_loss_False;38.4;38.4;38.4;33.33333;33.33333;33.33333;33.33333;0;;;['(38.4, 33.33333)', '33.33333'];3083.261617422104;[38.4, 38.4, 38.4, 38.4, 38.4, 38.4, 38.4, 38.4, 38.4];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;80;32;1;(0.0001, 'StepLR');1default;Adam;constrastive_loss False;nan;nan;nan;33.33333;33.33333;33.33333;33.33333;0;;;['(nan, 33.33333)', '33.33333'];474.7137145996094;[nan, nan, nan, nan, nan, nan, nan, nan, nan];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_gbrieven_filteredlfw_filtered;12859;7806;True;(200, 150);gbrieven_filteredlfw_filtered;autoencoder;80;32;1;(0.0001, 'StepLR');4AlexNet;Adam;triplet_loss_False;2579.1582;2579.1582;2579.1582;62.75444;63.33701;62.91989;63.3677;8;;;['(2579.1582, 62.91989)', '54.76871'];5928.241575241089;[2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582, 2579.1582];[62.75444, 63.03018, 61.3964, 61.43386, 63.2637, 63.0107, 63.35054, 62.9967, 63.3677, 61.29325, 60.96052, 63.25189, 62.77632, 60.90682, 62.01169, 63.15265, 63.21719, 60.84187, 63.33701, 60.86305, 63.08735, 63.21289, 62.3765, 62.99204, 62.96094, 63.13973, 63.35115, 63.16755, 63.33715, 62.95945, 63.31568, 63.35054, 61.13072, 63.08735, 62.46609, 60.53923, 62.91989]
ds_gbrieven_filteredlfw_filtered;13264;7806;True;(200, 150);gbrieven_filteredlfw_filtered;autoencoder;80;32;1;(0.0001, 'StepLR');1default;Adam;cross_entropy False;133.08601;133.08415;133.08415;33.33333;33.33333;33.33333;33.33333;0;;;['(133.08415, 33.33333)', '33.33333'];5790.0613424777985;[133.08601, 133.08414, 133.08414, 133.08415, 133.08415, 133.08415, 133.08415, 133.08417, 133.08415];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_gbrieven_filteredlfw_filtered;13264;7806;True;(200, 150);gbrieven_filteredlfw_filtered;autoencoder;80;32;1;(0.0001, 'StepLR');1default;Adam;constrastive_loss False;0.07671;0.07671;0.07671;33.33333;33.33333;33.33333;33.33333;0;;;['(0.07671, 33.33333)', '33.33333'];3692.1163201332092;[0.07671, 0.07671, 0.07671, 0.07671, 0.07671, 0.07671, 0.07671, 0.07671, 0.07671];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_gbrieven_filteredlfw_filtered;13354;7806;True;(200, 150);gbrieven_filteredlfw_filtered;autoencoder;85;32;1;(0.0001, 'StepLR');1default;Adam;triplet_loss_True;38.40146;38.40725;38413;33.33333;33.33333;33.33333;33.33333;0;;;['(38.413, 33.33333)', '33.33333'];3145.009022474289;[38.40146, 38.40293, 38.40432, 38.40579, 38.40725, 38.40869, 38.41015, 38.41154, 38.413];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_gbrieven_filteredlfw_filtered;13354;7806;True;(200, 150);gbrieven_filteredlfw_filtered;autoencoder;85;32;1;(0.0001, 'StepLR');1default;Adam;cross_entropy False;177.56995;355.12106;533.04279;33.33333;33.33333;33.33333;33.33333;0;;;['(533.04279, 33.33333)', '33.33333'];5573.973520278931;[177.56995, 222.07899, 268.61978, 310.53226, 355.12106, 399.46509, 445.05975, 488.04495, 533.04279];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]ds_cfp70
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;50;32;1;(0.0001, None);4AlexNet;Adam;triplet_loss_True;360.36771;332.1741;259.21542;56.76319;55.16735;55.7817;57.6719;30;;;[(3.233878382189618, 3.459925674264164), 53.5793];352.63539576530457;[360.36771, 332.1741, 293.81799, 288.31549, 292.29553, 282.63461, 361.84805, 339.40475, 334.61017, 329.00064, 312.9296, 302.06177, 281.74036, 295.83365, 293.86572, 306.6521, 338.16376, 317.05173, 310.99136, 354.54922, 358.03415, 352.61798, 308.57584, 305.88318, 292.68524, 282.86496, 282.56232, 278.01489, 267.91495, 287.07764, 276.42688, 273.73584, 272.27631, 271.51288, 262.8338, 259.63535, 259.21542];[56.76319, 57.10896, 55.16735, 56.29267, 56.75846, 55.72358, 54.80336, 57.32904, 56.87109, 55.8632, 57.32904, 57.24651, 56.04076, 57.26937, 56.62175, 57.16121, 55.47349, 55.4475, 56.73, 54.44261, 56.29224, 55.72358, 48.49407, 56.87109, 56.54803, 56.1978, 55.7817, 56.01078, 57.32904, 56.9057, 57.6719, 56.87109, 56.62175, 56.35191, 57.10896, 56.37681, 55.7817]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;50;32;1;(0.0001, None);4AlexNet;Adam;cross_entropy_True;11.12924;13.70115;86.69048;33.33333;44.8312;33.33333;50.29376;9;;;[(0.358288770053476, 14.014109742441207), 34.22];371.5748698711395;{'Pretrained Model': [31.99183, 34.92838, 32.10022, 25.30445, 21.05558, 24.83353, 28.16883, 30.01901, 30.53192, 31.46889, 31.58443, 31.75821, 31.86812, 33.3418, 33.76785, 34.66114, 35.9671, 36.59101, 36.82822, 36.96146, 37.56242, 38.41116, 38.92133, 39.07978, 39.99004, 40.67855, 40.99604, 41.17269, 41.96502, 42.40582, 42.85959, 43.6625, 44.08447, 46.12791, 46.67671, 46.99436, 47.2435], 'Non-pretrained Model': [11.12924, 13.70115, 15.29877, 18.28917, 20.14714, 23.04166, 25.72713, 28.55301, 31.32677, 32.59527, 35.56175, 36.85638, 39.86477, 42.62875, 45.43676, 48.22683, 50.94508, 53.72482, 56.53078, 59.11397, 61.88781, 64.35161, 67.31662, 70.04445, 72.83186, 75.66344, 78.3489, 81.15763, 83.9902, 86.69048]};{'Pretrained Model': [33.09942, 32.97997, 34.61284, 35.90918, 33.33333, 33.33333, 33.33333, 33.33333, 50.60768, 52.9611, 56.62175, 56.87109, 56.01782, 51.50384, 55.11231, 52.53496, 53.60522, 53.71127, 56.29267, 56.14025, 55.02233, 55.54299, 54.67559, 56.62175, 55.44535, 53.29894, 56.73, 55.78414, 55.22343, 55.02233, 55.27327, 54.94012, 55.69249, 44.23778, 52.53496, 56.60866, 56.0464], 'Non-pretrained Model': [33.33333, 33.89686, 44.8312, 33.33333, 39.03693, 33.33333, 33.33333, 33.33333, 33.33333, 50.29376, 33.33333, 50.25146, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 34.09404, 33.76557, 34.2436, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333], 'On Training Set': [0.34187572161045193, 0.3463059306757118, 0.3481783996188361, 0.36837230950672994, 0.33333333333333326, 0.33333333333333326, 0.33333333333333326, 0.33333333333333326, 0.48973810928303746, 0.49743438592844, 0.5178875952798696, 0.5261339631650682, 0.5049985940689115, 0.46853945676143016, 0.5174527423750804, 0.5053888947547115, 0.4883673638316794, 0.49979297990559285, 0.5344753581785601, 0.5230003421248524, 0.49855685934230687, 0.5022995935889265, 0.5113869431448812, 0.5159300695158906, 0.5107418957266139, 0.4994445995758057, 0.5300964121606705, 0.511122158940482, 0.5085134692506127, 0.5142920460042928, 0.5112473371993862, 0.5003241841749888, 0.5108178042526605, 0.4356125167069608, 0.4965407366219557, 0.5202365307183193, 0.5107525176092297]}
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;50;32;1;(0.0001, None);4AlexNet;Adam;cross_entropy_True;31.99183;34.92838;47.2435;33.09942;34.61284;56.0464;56.87109;11;;;[(3.158746743615165, 3.566820943199836), 54.51484];371.5748698711395;[31.99183, 34.92838, 32.10022, 25.30445, 21.05558, 24.83353, 28.16883, 30.01901, 30.53192, 31.46889, 31.58443, 31.75821, 31.86812, 33.3418, 33.76785, 34.66114, 35.9671, 36.59101, 36.82822, 36.96146, 37.56242, 38.41116, 38.92133, 39.07978, 39.99004, 40.67855, 40.99604, 41.17269, 41.96502, 42.40582, 42.85959, 43.6625, 44.08447, 46.12791, 46.67671, 46.99436, 47.2435];[33.09942, 32.97997, 34.61284, 35.90918, 33.33333, 33.33333, 33.33333, 33.33333, 50.60768, 52.9611, 56.62175, 56.87109, 56.01782, 51.50384, 55.11231, 52.53496, 53.60522, 53.71127, 56.29267, 56.14025, 55.02233, 55.54299, 54.67559, 56.62175, 55.44535, 53.29894, 56.73, 55.78414, 55.22343, 55.02233, 55.27327, 54.94012, 55.69249, 44.23778, 52.53496, 56.60866, 56.0464]
