nb_repet;gallery_size;nb_probes;im_per_pers;db_test;model name;thresh;distance metric;Nb_inst_probes;With_synthet;nb_correct_vote;nb_correct_dist;EER;ComputationTime
6;20;5;5;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;0.6666666666666666;1.6666666666666667;;283.66326904296875
6;20;5;5;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.5;3.1666666666666665;;106.43569087982178
6;20;5;5;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;0.8333333333333334;2.0;;7301.490606069565
6;20;5;5;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.1666666666666667;1.1666666666666667;;80.71697497367859
6;20;5;5;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.1666666666666667;1.3333333333333333;;81.19595503807068
6;20;5;5;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.6666666666666667;1.5;;81.19384789466858
6;20;5;5;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;0.8333333333333334;1.0;;82.99361681938171
6;20;5;5;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;0.6666666666666666;1.0;;82.04825592041016
6;20;5;5;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.1666666666666667;1.5;;82.68449115753174
6;20;5;5;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.0;1.5;;82.70402669906616
6;20;5;5;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;0.5;1.1666666666666667;;1283.1033449172974
6;20;5;6;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;2.1666666666666665;2.1666666666666665;;4243.266578197479
6;20;5;6;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.8333333333333333;2.0;;275.9302649497986
6;20;5;6;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.8333333333333333;3.0;;280.8152289390564
6;20;5;6;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;2.6666666666666665;3.0;;284.3154640197754
6;20;5;6;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.8333333333333333;2.1666666666666665;;275.0696556568146
6;20;5;6;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.3333333333333333;0.8333333333333334;;283.67160201072693
6;20;5;6;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.5;1.6666666666666667;;359.0917737483978
6;20;5;6;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;2.0;1.5;;297.8463418483734
6;20;5;6;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.0;1.5;;291.37708711624146
6;20;5;6;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.3333333333333333;0.6666666666666666;;249.57466292381287
6;20;5;6;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.0;1.6666666666666667;;302.94849276542664
6;20;5;6;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.0;2.0;;283.3875780105591
6;20;5;6;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.0;1.5;;287.4958710670471
6;20;5;6;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.1666666666666667;2.0;;292.32540917396545
6;20;5;6;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;0.3333333333333333;1.1666666666666667;;305.65393471717834
